bits	rendered
0	0.0
9223372036854775808	-0.0
4607182418800017408	1.0
13830554455654793216	-1.0
4602678819172646912	0.5
4612811918334230528	2.5
13836183955189006336	-2.5
4679239875398991872	65535.0
4679240012837945344	65536.0
4652007308841189376	1000.0
4666723172467343360	10000.0
4681608360884174848	100000.0
4696837146684686336	1000000.0
4711630319722168320	10000000.0
4831355200913801216	1000000000000000.0
4846369599423283200	1e+16
4861130398305394688	1e+17
4848869599423283200	1.5e+16
4845873199050653696	9007199254740992.0
4921056587992461136	1e+21
4936209963552724370	1e+22
4907451598986591449	1.2345678901234567e+20
4591870180066957722	0.1
4596373779694328218	0.2
4599075939470750515	0.3
4599075939470750516	0.30000000000000004
4599676419421066581	0.3333333333333333
4562254508917369340	0.001
4547007122018943789	0.0001
4532020583610935537	1e-05
4517329193108106637	1e-06
4504762867522569078	1.5e-07
4503599627370496	2.2250738585072014e-308
1	5e-324
9218868437227405311	1.7976931348623157e+308
4638387860618067575	123.456
13861759897472843383	-123.456
4614256656552045841	3.14159265358979
4698053240436593525	1234567.891
792413291339659299	1.0395427715179818e-255
7055553843353485124	4.744131732961222e+163
2936227011244975917	2.0513955278260461e-112
11872828230375456330	-1.4623245594624124e-131
6816607364054603241	5.085548217305552e+147
4449949853012967639	3.164625518447544e-11
14055517626499990608	-1098798591426698.0
8078527452710051890	1.1137371156450948e+232
10571013183817958037	-1.4010650952690768e-218
9240484580721712081	-1.6018289282360518e-307
10359771660129766700	-1.0719725213288242e-232
9867318315831146488	-1.231090382544717e-265
4585303263732742801	0.035682864281047284
8038757479687831815	2.380602940116833e+229
9971065379693432245	-1.062760808364773e-258
8362455745013428065	1.0528704135459346e+251
7597403842716053007	7.511116051739151e+199
7690505933998839499	1.312587380024014e+206
15051894572522424160	-4.522714277927553e+81
16961571417016731830	-2.014343070235068e+209
13800551335092673594	-0.010452882408328635
852524527568850989	1.1334860410691513e-251
14564664064780869907	-1.1751386661928933e+49
15213732125605314969	-2.938909739178003e+92
17468325529017303571	-1.4914509343868957e+243
5537499108207817253	1.6165043441211854e+62
9765259117095264532	-1.9566243473092323e-272
13156015620735339770	-8.563971761633543e-46
3504219447557167653	1.933215573011154e-74
15860275482123294054	-4.9093694522703375e+135
17466223286833259374	-1.093041629561899e+243
6736339999901922965	2.1559013997563646e+142
15644103997065176084	-1.7444558802740612e+121
