start	end	total	total_is_float	plot_type	completions	chart
2026-03-01	2026-03-07	0	false	issues	[]	{"2026-03-01": 0, "2026-03-02": 0, "2026-03-03": 0, "2026-03-04": 0, "2026-03-05": 0, "2026-03-06": 0, "2026-03-07": 0}
2026-03-01	2026-03-07	17	false	issues	[["2026-02-25", 4], ["2026-03-01", 1], ["2026-03-07", 2], ["2026-03-10", 2], ["2026-03-03", 2], ["2026-03-09", 3], [null, 3]]	{"2026-03-01": 12, "2026-03-02": 12, "2026-03-03": 10, "2026-03-04": 10, "2026-03-05": 10, "2026-03-06": 10, "2026-03-07": 8}
2026-03-01	2026-03-07	0	false	points	[]	{"2026-03-01": 0, "2026-03-02": 0, "2026-03-03": 0, "2026-03-04": 0, "2026-03-05": 0, "2026-03-06": 0, "2026-03-07": 0}
2026-03-01	2026-03-07	34.0	true	points	[["2026-03-10", 6.5], ["2026-03-09", 4.5], ["2026-03-08", 7.4], ["2026-03-11", 0.8], ["2026-03-01", 6.7], ["2026-03-05", 5.6], [null, 2.5]]	{"2026-03-01": 27.3, "2026-03-02": 27.3, "2026-03-03": 27.3, "2026-03-04": 27.3, "2026-03-05": 21.7, "2026-03-06": 21.7, "2026-03-07": 21.7}
2026-03-10	2026-03-20	0	false	issues	[]	{"2026-03-10": 0, "2026-03-11": 0, "2026-03-12": 0, "2026-03-13": 0, "2026-03-14": 0, "2026-03-15": 0, "2026-03-16": null, "2026-03-17": null, "2026-03-18": null, "2026-03-19": null, "2026-03-20": null}
2026-03-10	2026-03-20	14	false	issues	[["2026-03-20", 2], ["2026-03-05", 1], ["2026-03-06", 3], ["2026-03-05", 3], ["2026-03-20", 3], ["2026-03-18", 1], [null, 3]]	{"2026-03-10": 7, "2026-03-11": 7, "2026-03-12": 7, "2026-03-13": 7, "2026-03-14": 7, "2026-03-15": 7, "2026-03-16": null, "2026-03-17": null, "2026-03-18": null, "2026-03-19": null, "2026-03-20": null}
2026-03-10	2026-03-20	0	false	points	[]	{"2026-03-10": 0, "2026-03-11": 0, "2026-03-12": 0, "2026-03-13": 0, "2026-03-14": 0, "2026-03-15": 0, "2026-03-16": null, "2026-03-17": null, "2026-03-18": null, "2026-03-19": null, "2026-03-20": null}
2026-03-10	2026-03-20	33.1	true	points	[["2026-03-22", 4.9], ["2026-03-08", 5.1], ["2026-03-06", 6.1], ["2026-03-11", 2.6], ["2026-03-20", 7.2], ["2026-03-05", 4.7], [null, 2.5]]	{"2026-03-10": 17.200000000000003, "2026-03-11": 14.600000000000001, "2026-03-12": 14.600000000000001, "2026-03-13": 14.600000000000001, "2026-03-14": 14.600000000000001, "2026-03-15": 14.600000000000001, "2026-03-16": null, "2026-03-17": null, "2026-03-18": null, "2026-03-19": null, "2026-03-20": null}
2026-04-01	2026-04-05	0	false	issues	[]	{"2026-04-01": null, "2026-04-02": null, "2026-04-03": null, "2026-04-04": null, "2026-04-05": null}
2026-04-01	2026-04-05	11	false	issues	[["2026-03-29", 3], ["2026-04-03", 1], ["2026-04-01", 4], ["2026-04-01", 1], ["2026-03-28", 3], ["2026-04-08", 4], [null, 3]]	{"2026-04-01": null, "2026-04-02": null, "2026-04-03": null, "2026-04-04": null, "2026-04-05": null}
2026-04-01	2026-04-05	0	false	points	[]	{"2026-04-01": null, "2026-04-02": null, "2026-04-03": null, "2026-04-04": null, "2026-04-05": null}
2026-04-01	2026-04-05	30.9	true	points	[["2026-04-13", 6.0], ["2026-04-10", 3.8], ["2026-04-10", 3.4], ["2026-04-10", 7.6], ["2026-04-09", 1.8], ["2026-03-30", 5.8], [null, 2.5]]	{"2026-04-01": null, "2026-04-02": null, "2026-04-03": null, "2026-04-04": null, "2026-04-05": null}
2026-03-15	2026-03-15	0	false	issues	[]	{"2026-03-15": 0}
2026-03-15	2026-03-15	18	false	issues	[["2026-03-10", 1], ["2026-03-27", 4], ["2026-03-16", 3], ["2026-03-16", 3], ["2026-03-15", 1], ["2026-03-13", 4], [null, 3]]	{"2026-03-15": 12}
2026-03-15	2026-03-15	0	false	points	[]	{"2026-03-15": 0}
2026-03-15	2026-03-15	25.6	true	points	[["2026-03-14", 2.6], ["2026-03-11", 4.4], ["2026-03-19", 5.4], ["2026-03-22", 4.1], ["2026-03-26", 4.0], ["2026-03-22", 2.6], [null, 2.5]]	{"2026-03-15": 18.6}
2026-02-26	2026-03-02	0	false	issues	[]	{"2026-02-26": 0, "2026-02-27": 0, "2026-02-28": 0, "2026-03-01": 0, "2026-03-02": 0}
2026-02-26	2026-03-02	24	false	issues	[["2026-03-08", 1], ["2026-03-09", 1], ["2026-02-26", 1], ["2026-03-04", 4], ["2026-02-25", 2], ["2026-02-28", 4], [null, 3]]	{"2026-02-26": 21, "2026-02-27": 21, "2026-02-28": 17, "2026-03-01": 17, "2026-03-02": 17}
2026-02-26	2026-03-02	0	false	points	[]	{"2026-02-26": 0, "2026-02-27": 0, "2026-02-28": 0, "2026-03-01": 0, "2026-03-02": 0}
2026-02-26	2026-03-02	17.4	true	points	[["2026-02-21", 1.5], ["2026-02-28", 1.2], ["2026-02-25", 1.3], ["2026-03-09", 1.7], ["2026-02-22", 3.0], ["2026-02-23", 6.2], [null, 2.5]]	{"2026-02-26": 5.399999999999999, "2026-02-27": 5.399999999999999, "2026-02-28": 4.199999999999999, "2026-03-01": 4.199999999999999, "2026-03-02": 4.199999999999999}
