# Ground truth for order_issue_queryset, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not change
archived_at	archived_at ASC, created_at DESC
-archived_at	archived_at DESC, created_at DESC
assignees__first_name	MIN(user.first_name) ASC, created_at DESC
-assignees__first_name	MIN(user.first_name) DESC, created_at DESC
completed_at	completed_at ASC, created_at DESC
-completed_at	completed_at DESC, created_at DESC
created_at	created_at ASC
-created_at	created_at DESC
issue_module__module__name	MIN(module.name) ASC, created_at DESC
-issue_module__module__name	MIN(module.name) DESC, created_at DESC
labels__name	MIN(label.name) ASC, created_at DESC
-labels__name	MIN(label.name) DESC, created_at DESC
priority	CASE WHEN priority = urgent THEN 0 WHEN priority = high THEN 1 WHEN priority = medium THEN 2 WHEN priority = low THEN 3 WHEN priority = none THEN 4 ELSE NULL END ASC, created_at DESC
-priority	CASE WHEN priority = urgent THEN 0 WHEN priority = high THEN 1 WHEN priority = medium THEN 2 WHEN priority = low THEN 3 WHEN priority = none THEN 4 ELSE NULL END ASC, created_at DESC
sequence_id	sequence_id ASC, created_at DESC
-sequence_id	sequence_id DESC, created_at DESC
sort_order	sort_order ASC, created_at DESC
-sort_order	sort_order DESC, created_at DESC
start_date	start_date ASC, created_at DESC
-start_date	start_date DESC, created_at DESC
state__group	CASE WHEN state.group = backlog THEN 0 WHEN state.group = unstarted THEN 1 WHEN state.group = started THEN 2 WHEN state.group = completed THEN 3 WHEN state.group = cancelled THEN 4 ELSE 5 END ASC, created_at DESC
-state__group	CASE WHEN state.group = cancelled THEN 0 WHEN state.group = completed THEN 1 WHEN state.group = started THEN 2 WHEN state.group = unstarted THEN 3 WHEN state.group = backlog THEN 4 ELSE 5 END ASC, created_at DESC
state__name	state.name ASC, created_at DESC
-state__name	state.name DESC, created_at DESC
target_date	target_date ASC, created_at DESC
-target_date	target_date DESC, created_at DESC
updated_at	updated_at ASC, created_at DESC
-updated_at	updated_at DESC, created_at DESC
