axis	keys	ordered
priority	["low", "medium", "high", "urgent", "none"]	["low", "medium", "high", "urgent", "none"]
state_id	["low", "medium", "high", "urgent", "none"]	["high", "low", "medium", "urgent", "none"]
created_at	["low", "medium", "high", "urgent", "none"]	["high", "low", "medium", "urgent", "none"]
labels__id	["low", "medium", "high", "urgent", "none"]	["high", "low", "medium", "urgent", "none"]
priority	["urgent", "low"]	["low", "urgent"]
state_id	["urgent", "low"]	["low", "urgent"]
created_at	["urgent", "low"]	["low", "urgent"]
labels__id	["urgent", "low"]	["low", "urgent"]
priority	["none"]	["none"]
state_id	["none"]	["none"]
created_at	["none"]	["none"]
labels__id	["none"]	["none"]
priority	["none", "backlog", "started"]	["none"]
state_id	["none", "backlog", "started"]	["backlog", "started", "none"]
created_at	["none", "backlog", "started"]	["backlog", "started", "none"]
labels__id	["none", "backlog", "started"]	["backlog", "started", "none"]
priority	["2026-1", "2026-10", "2026-2", "2025-12"]	[]
state_id	["2026-1", "2026-10", "2026-2", "2025-12"]	["2025-12", "2026-1", "2026-10", "2026-2"]
created_at	["2026-1", "2026-10", "2026-2", "2025-12"]	["2025-12", "2026-1", "2026-10", "2026-2"]
labels__id	["2026-1", "2026-10", "2026-2", "2025-12"]	["2025-12", "2026-1", "2026-10", "2026-2"]
priority	["b", "a", "none", "c"]	["none"]
state_id	["b", "a", "none", "c"]	["a", "b", "c", "none"]
created_at	["b", "a", "none", "c"]	["a", "b", "c", "none"]
labels__id	["b", "a", "none", "c"]	["a", "b", "c", "none"]
priority	["B", "a", "C", "none"]	["none"]
state_id	["B", "a", "C", "none"]	["B", "C", "a", "none"]
created_at	["B", "a", "C", "none"]	["B", "C", "a", "none"]
labels__id	["B", "a", "C", "none"]	["B", "C", "a", "none"]
priority	["", "a", "none"]	["none"]
state_id	["", "a", "none"]	["", "a", "none"]
created_at	["", "a", "none"]	["", "a", "none"]
labels__id	["", "a", "none"]	["", "a", "none"]
priority	["nonexistent", "low"]	["low"]
state_id	["nonexistent", "low"]	["low", "nonexistent"]
created_at	["nonexistent", "low"]	["low", "nonexistent"]
labels__id	["nonexistent", "low"]	["low", "nonexistent"]
priority	["Low", "low"]	["low"]
state_id	["Low", "low"]	["Low", "low"]
created_at	["Low", "low"]	["Low", "low"]
labels__id	["Low", "low"]	["Low", "low"]
priority	[]	[]
state_id	[]	[]
created_at	[]	[]
labels__id	[]	[]
priority	["1", "10", "2"]	[]
state_id	["1", "10", "2"]	["1", "10", "2"]
created_at	["1", "10", "2"]	["1", "10", "2"]
labels__id	["1", "10", "2"]	["1", "10", "2"]
priority	["none", "None"]	["none"]
state_id	["none", "None"]	["None", "none"]
created_at	["none", "None"]	["None", "none"]
labels__id	["none", "None"]	["None", "none"]
priority	["low", "b", "high", "2026-3", "a"]	["low", "high"]
labels__id	["2026-3", "urgent"]	["2026-3", "urgent"]
labels__id	["", "2026-3", "urgent", "medium", "b"]	["", "2026-3", "b", "medium", "urgent"]
labels__id	["2026-3", "z"]	["2026-3", "z"]
labels__id	["b", "2026-3", "", "medium", "a"]	["", "2026-3", "a", "b", "medium"]
state_id	[]	[]
priority	["z", "none", "", "medium", "low", "a"]	["low", "medium", "none"]
labels__id	["low", "a"]	["a", "low"]
labels__id	["b", "low"]	["b", "low"]
priority	["", "none", "medium", "2026-3"]	["medium", "none"]
state_id	[]	[]
state_id	["", "z"]	["", "z"]
priority	[]	[]
created_at	[]	[]
priority	["urgent", "medium", "high", "", "a", "2026-3"]	["medium", "high", "urgent"]
created_at	[]	[]
labels__id	["b", "a", "z"]	["a", "b", "z"]
labels__id	["z"]	["z"]
labels__id	["z"]	["z"]
state_id	["high", "none", "medium"]	["high", "medium", "none"]
created_at	["low", "medium", "z", "2026-3"]	["2026-3", "low", "medium", "z"]
labels__id	["urgent", "a", "high", "low", "b"]	["a", "b", "high", "low", "urgent"]
created_at	["high", "none", "z", "low"]	["high", "low", "z", "none"]
created_at	["b", "z", "2026-3", "low", "urgent"]	["2026-3", "b", "low", "urgent", "z"]
created_at	["z", "low", "medium", "", "2026-3"]	["", "2026-3", "low", "medium", "z"]
labels__id	["z", "high", "urgent", "medium"]	["high", "medium", "urgent", "z"]
priority	["low", "high", "urgent", "", "b", "medium"]	["low", "medium", "high", "urgent"]
priority	["high", "b", "low", ""]	["low", "high"]
priority	["none", "a", "high", "z", "low", "2026-3"]	["low", "high", "none"]
created_at	["z", "b", "", "2026-3"]	["", "2026-3", "b", "z"]
labels__id	[]	[]
priority	["urgent", "", "b", "medium", "none", "z"]	["medium", "urgent", "none"]
priority	["z", "a", "b", "2026-3", "medium"]	["medium"]
labels__id	["high", "b"]	["b", "high"]
created_at	[]	[]
created_at	["urgent", "b", "medium", "a", "low"]	["a", "b", "low", "medium", "urgent"]
priority	["b", "2026-3", ""]	[]
state_id	[]	[]
labels__id	["medium", "b", "", "none"]	["", "b", "medium", "none"]
created_at	["a", "2026-3", "high", "", "urgent"]	["", "2026-3", "a", "high", "urgent"]
