# The complex filter backend's truth table, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not change
{"priority":"high"}	AND(priority__exact="high")
{"priority__exact":"urgent"}	AND(priority__exact="urgent")
{"priority__in":"high,urgent"}	AND(priority__in=["high","urgent"])
{"priority__in":["high","urgent"]}	AND(priority__in=["urgent"])
{"state_group":"started"}	AND(state__group__exact="started")
{"state_group__exact":"backlog"}	AND(state__group__exact="backlog")
{"state_group__in":"started,backlog"}	AND(state__group__in=["started","backlog"])
{"state_id":"11111111-1111-1111-1111-111111111111"}	AND(state_id__exact="11111111-1111-1111-1111-111111111111")
{"state_id__exact":"11111111-1111-1111-1111-111111111111"}	AND(state_id__exact="11111111-1111-1111-1111-111111111111")
{"state_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(state_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"state_id__in":["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"]}	AND(state_id__in=["22222222-2222-2222-2222-222222222222"])
{"project_id":"11111111-1111-1111-1111-111111111111"}	AND(project_id__exact="11111111-1111-1111-1111-111111111111")
{"project_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(project_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"created_by_id":"11111111-1111-1111-1111-111111111111"}	AND(created_by_id__exact="11111111-1111-1111-1111-111111111111")
{"created_by_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(created_by_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"assignee_id":"11111111-1111-1111-1111-111111111111"}	AND(issue_assignee__assignee_id="11111111-1111-1111-1111-111111111111",issue_assignee__deleted_at__isnull=true)
{"assignee_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(issue_assignee__assignee_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"],issue_assignee__deleted_at__isnull=true)
{"cycle_id":"11111111-1111-1111-1111-111111111111"}	AND(issue_cycle__cycle_id="11111111-1111-1111-1111-111111111111",issue_cycle__deleted_at__isnull=true)
{"cycle_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(issue_cycle__cycle_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"],issue_cycle__deleted_at__isnull=true)
{"module_id":"11111111-1111-1111-1111-111111111111"}	AND(issue_module__deleted_at__isnull=true,issue_module__module_id="11111111-1111-1111-1111-111111111111")
{"module_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(issue_module__deleted_at__isnull=true,issue_module__module_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"label_id":"11111111-1111-1111-1111-111111111111"}	AND(label_issue__deleted_at__isnull=true,label_issue__label_id="11111111-1111-1111-1111-111111111111")
{"label_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(label_issue__deleted_at__isnull=true,label_issue__label_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"mention_id":"11111111-1111-1111-1111-111111111111"}	AND(issue_mention__deleted_at__isnull=true,issue_mention__mention_id="11111111-1111-1111-1111-111111111111")
{"mention_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(issue_mention__deleted_at__isnull=true,issue_mention__mention_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"subscriber_id":"11111111-1111-1111-1111-111111111111"}	AND(issue_subscribers__deleted_at__isnull=true,issue_subscribers__subscriber_id="11111111-1111-1111-1111-111111111111")
{"subscriber_id__in":"11111111-1111-1111-1111-111111111111,22222222-2222-2222-2222-222222222222"}	AND(issue_subscribers__deleted_at__isnull=true,issue_subscribers__subscriber_id__in=["11111111-1111-1111-1111-111111111111","22222222-2222-2222-2222-222222222222"])
{"is_draft":true}	AND(is_draft__exact=true)
{"is_draft":false}	AND(is_draft__exact=false)
{"is_draft":"maybe"}	AND(is_draft__exact=null)
{"is_archived":true}	AND(archived_at__isnull=false)
