# plane.utils.path_validator.sanitize_filename, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not changeA result of - means the function returned None, which the caller replaces with the placeholder. Do not edit by hand.
'report.pdf'	'report.pdf'
''	-
'   '	-
'.env'	'env'
' .env'	'env'
'..env'	'env'
'...env'	'env'
'../../etc/passwd'	'passwd'
'..\\..\\windows\\system32\\config'	'config'
'dir/sub/file.txt'	'file.txt'
'dir\\sub\\file.txt'	'file.txt'
'/absolute/path.txt'	'path.txt'
'trailing/'	-
'trailing\\'	-
'a..b.txt'	'ab.txt'
'....'	-
'..'	-
'.'	-
'file\x00name.txt'	'filename.txt'
'tab\tname.txt'	'tabname.txt'
'new\nline.txt'	'newline.txt'
'\x7fdel.txt'	'del.txt'
'  spaced  .txt  '	'spaced  .txt'
'no_extension'	'no_extension'
'UPPER.TXT'	'UPPER.TXT'
'中文 文件.pdf'	'中文 文件.pdf'
'a/b/../c.txt'	'c.txt'
'....//....//etc/passwd'	'passwd'
'~/.ssh/id_rsa'	'id_rsa'
'file.tar.gz'	'file.tar.gz'
'..hidden..txt'	'hiddentxt'
' . . . '	'. .'
'$(whoami).txt'	'$(whoami).txt'
'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.txt'	'aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.txt'
'/.\x7f..'	-
'.b\x00.\t\\..'	-
'..\\.\t.'	-
'.\\\x7f\x7f\x00.\x00\x00.'	-
'.\t\\'	-
'a.'	'a.'
'\t.'	-
'a\t\\\x7f/.\x00\x00\x7f'	-
'b.\t'	'b.'
'.\x00.\x00\\ \x7f\t./b'	'b'
'\x00 ba\\//'	-
'/\\.\x00a\t b.. a'	'a b a'
'..\t.//b/ '	-
'.\x7f./\t\x00'	-
'\\bb..b\x00 \x00/ .\\'	-
'a'	'a'
'..\x7f......a'	'a'
'\x00\x7f\\ a...\x7fb.'	'a.b.'
'b/\x00. .\\'	-
'a/..\\..\\ ./ .'	-
'a/\\.\\\ta..'	'a'
'b\x7f.\\/.'	-
'/\\'	-
'\\. \\\x00/aa./'	-
